,Open,High,Low,Close,Volume,Moeda,Subiu,Acao,Data
358,76.38,77.98,76.35,77.25,12113500,'BRL',0,VALE3,2021-07-27
359,77.99,78.98,77.61,77.96,26568500,'BRL',0,VALE3,2021-07-26
360,79.0,79.97,78.0,78.0,18557200,'BRL',0,VALE3,2021-07-25
361,78.51,79.07,76.9,77.08,18178700,'BRL',0,VALE3,2021-07-24
362,77.37,78.68,77.13,77.81,22039000,'BRL',0,VALE3,2021-07-23
363,78.64,80.35,78.31,79.38,22044100,'BRL',0,VALE3,2021-07-22
364,80.4,84.0,79.79,84.0,35213100,'BRL',0,VALE3,2021-07-21
365,82.49,84.27,82.3,83.0,25056700,'BRL',0,VALE3,2021-07-20
366,83.48,85.15,83.31,84.58,28418800,'BRL',0,VALE3,2021-07-19
367,86.49,86.58,84.93,85.5,27335400,'BRL',0,VALE3,2021-07-18
368,84.84,85.23,83.7,84.2,23154200,'BRL',0,VALE3,2021-07-17
369,83.72,84.93,82.91,84.69,21183400,'BRL',0,VALE3,2021-07-16
370,84.0,84.6,84.0,84.25,9688500,'BRL',1,VALE3,2021-07-15
371,84.58,86.88,84.48,86.31,24080200,'BRL',0,VALE3,2021-07-14
372,88.48,89.0,87.88,88.21,29332500,'BRL',0,VALE3,2021-07-13
373,88.8,88.97,86.64,86.71,22748800,'BRL',0,VALE3,2021-07-12
374,86.47,86.73,84.34,84.91,32621000,'BRL',0,VALE3,2021-07-11
